,Date,State,Confirmed,Deceased,Recovered,State_Name
365,04-Apr-20,JH,0,0,0,Jharkhand
366,04-Apr-20,JK,17,0,0,Jammu and Kashmir
367,04-Apr-20,KA,16,0,0,Karnataka
368,04-Apr-20,KL,11,0,8,Kerala
369,04-Apr-20,LA,0,0,0,Ladakh
370,04-Apr-20,LD,0,0,0,Lakshadweep
371,04-Apr-20,MH,148,6,2,Maharashtra
372,04-Apr-20,ML,0,0,0,Meghalaya
373,04-Apr-20,MN,0,0,0,Manipur
374,04-Apr-20,MP,25,3,0,Madhya Pradesh
375,04-Apr-20,MZ,0,0,0,Mizoram
376,04-Apr-20,NL,0,0,0,Nagaland
377,04-Apr-20,OR,1,0,0,Odisha
378,04-Apr-20,PB,12,0,2,Punjab
379,04-Apr-20,PY,0,0,0,Puducherry
380,04-Apr-20,RJ,27,1,22,Rajasthan
381,04-Apr-20,SK,0,0,0,Sikkim
382,04-Apr-20,TG,43,0,1,Telangana
383,04-Apr-20,TN,74,2,2,Tamil Nadu
384,04-Apr-20,TR,0,0,0,Tripura
385,04-Apr-20,TT,579,13,56,Total
386,04-Apr-20,UN,0,0,0,State Unassigned
387,04-Apr-20,UP,60,0,4,Uttar Pradesh
388,04-Apr-20,UT,6,0,0,Uttarakhand
389,04-Apr-20,WB,0,0,0,West Bengal
390,04-Jun-20,AN,0,0,0,Andaman and Nicobar Islands
391,04-Jun-20,AP,141,3,65,Andhra Pradesh
392,04-Jun-20,AR,5,0,0,Arunachal Pradesh
393,04-Jun-20,AS,285,0,46,Assam
394,04-Jun-20,BR,126,3,95,Bihar
395,04-Jun-20,CH,1,0,8,Chandigarh
396,04-Jun-20,CT,147,0,36,Chhattisgarh
397,04-Jun-20,DD,0,0,0,Daman and Diu
398,04-Jun-20,DL,1359,44,356,Delhi
399,04-Jun-20,DN,3,0,0,Dadra and Nagar Haveli and Daman and Diu
400,04-Jun-20,GA,40,0,0,Goa
401,04-Jun-20,GJ,492,33,455,Gujarat
402,04-Jun-20,HP,24,0,29,Himachal Pradesh
403,04-Jun-20,HR,327,1,34,Haryana
404,04-Jun-20,JH,63,1,69,Jharkhand
405,04-Jun-20,JK,285,1,41,Jammu and Kashmir
406,04-Jun-20,KA,257,4,106,Karnataka
407,04-Jun-20,KL,94,3,39,Kerala
408,04-Jun-20,LA,4,0,0,Ladakh
409,04-Jun-20,LD,0,0,0,Lakshadweep
410,04-Jun-20,MH,2933,123,1352,Maharashtra
411,04-Jun-20,ML,0,0,0,Meghalaya
412,04-Jun-20,MN,16,0,0,Manipur
413,04-Jun-20,MP,174,6,192,Madhya Pradesh
414,04-Jun-20,MZ,3,0,0,Mizoram
415,04-Jun-20,NL,22,0,0,Nagaland
416,04-Jun-20,OR,90,0,65,Odisha
417,04-Jun-20,PB,39,0,14,Punjab
418,04-Jun-20,PY,9,0,4,Puducherry
419,04-Jun-20,RJ,210,4,360,Rajasthan
420,04-Jun-20,SK,0,0,0,Sikkim
421,04-Jun-20,TG,127,6,31,Telangana
422,04-Jun-20,TN,1384,15,585,Tamil Nadu
423,04-Jun-20,TR,24,0,0,Tripura
424,04-Jun-20,TT,9847,274,4390,Total
425,04-Jun-20,UN,360,0,0,State Unassigned
426,04-Jun-20,UP,367,15,182,Uttar Pradesh
